the_geom,OBJECTID,CNN,STREET,ST_TYPE,STREET_GC,FROM_ST,TO_ST,SPEEDLIMIT,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SHAPE.LEN,SCHOOLZONE,SCHOOLZONE_LIMIT,Status,MTAB_MOTION,MTAB_DATE,MTAB_RESO_TEXT,WorkOrder
"MULTILINESTRING ((-122.409258656778 37.781403078577, -122.410204898664 37.780655091583))",5444,7523000,JESSIE,ST,,06TH ST,END: 500-599 BLOCK,0,,,,,385.983975377685,,,,,,,
"MULTILINESTRING ((-122.407990133184 37.719740941529, -122.408011395152 37.719612574033, -122.40893426445 37.719372262764))",11943,8671101,MANSELL,ST,,BOWDOIN ST,DARTMOUTH ST,25,,,,,328.07357719863501,,,,,,,
"MULTILINESTRING ((-122.414215195473 37.795599072897, -122.414290692618 37.795973854163))",5768,10413000,PHOENIX,TER,,START: 1-99 BLOCK,PACIFIC AVE,0,,,,,138.20955086653601,,,,,,,
"MULTILINESTRING ((-122.495370909832 37.755281292718, -122.495910286819 37.755256259696))",16281,9362000,MORAGA,ST,,SUNSET BLVD,37TH AVE,0,,,,,156.21126603783401,,,,,,,
"MULTILINESTRING ((-122.407461772246 37.754511280909, -122.407304393849 37.752911555144))",3917,6656000,HAMPSHIRE,ST,,23RD ST,24TH ST,0,,,,,584.31173894556798,,,,,,,
"MULTILINESTRING ((-122.414132934317 37.799829222759, -122.415217095243 37.799692704682))",5548,12853000,UNION,ST,,TAYLOR ST,MARION PL,0,,,,,317.18561338826004,,,,,,,
"MULTILINESTRING ((-122.412430772755 37.799769715743, -122.41248459477 37.800037345943))",4654,8826000,MASON,ST,,WEBB PL,UNION ST,0,,,,,98.690852438403496,,,,,,,
"MULTILINESTRING ((-122.418567050817 37.743685618962, -122.419410368347 37.742378167446, -122.419504281054 37.742322480752))",7588,10786000,PROSPECT,AVE,,ESMERALDA AVE,VIRGINIA AVE,0,,,,,568.81699098084698,,,,,,,
"MULTILINESTRING ((-122.390740289472 37.731042089843, -122.391302962409 37.730416294776))",8460,8092000,LANE,ST,,SHAFTER AVE,THOMAS AVE,0,,,,,280.021962559538,,,,,,,
"MULTILINESTRING ((-122.504070054353 37.779710024165, -122.505148305368 37.779804807005))",2559,10537000,POINT LOBOS,AVE,,43RD AVE,44TH AVE,30,,,,,313.54745374540602,,,,,,,
"MULTILINESTRING ((-122.431218163359 37.784573185328, -122.431393118737 37.784495690306, -122.434449835721 37.784110968328, -122.43457531726 37.784156807467))",16259,6041101,GEARY,BLVD,,WEBSTER ST,STEINER ST,35,,,,,992.28177669588104,,,,,,,
"MULTILINESTRING ((-122.402574597854 37.715562498459, -122.403216357381 37.714970361058))",14806,2211000,ALPHA,ST,,TIOGA AVE,TUCKER AVE,0,,,,,284.53164443747704,,,,,,,
"MULTILINESTRING ((-122.480219766771 37.761563769193, -122.480088891623 37.75969520991))",3097,1141000,22ND,AVE,,JUDAH ST,KIRKHAM ST,0,,,,,681.48446937921904,,,,,,,
"MULTILINESTRING ((-122.500058090408 37.753205996928, -122.501131145696 37.753158588159))",5031,9676000,NORIEGA,ST,,41ST AVE,42ND AVE,0,,,,,310.73119510134302,,,,,,,
"MULTILINESTRING ((-122.433652320081 37.714756833291, -122.432790347807 37.714442091098))",15243,2251000,AMAZON,AVE,,ATHENS ST,MOSCOW ST,0,,,,,274.42944638311496,,,,,,,
"MULTILINESTRING ((-122.434998067642 37.735687131629, -122.435089774919 37.73558217828))",7317,12300000,SURREY,ST,,THOR AVE,LIPPARD AVE,0,,,,,46.519231625699398,,,,,,,
"MULTILINESTRING ((-122.416665971604 37.795674997263, -122.417018324825 37.79563066046))",5999,10142000,PACIFIC,AVE,,LEAVENWORTH ST,BURGOYNE ST,0,,,,,103.0893511628,,,,,,,
"MULTILINESTRING ((-122.415539619582 37.792190189739, -122.415949435342 37.792137888634))",6908,11243000,SACRAMENTO,ST,,GOLDEN CT,LEAVENWORTH ST,0,,,,,119.94902391201001,,,,,,,
"MULTILINESTRING ((-122.405022577117 37.720513621584, -122.404561798348 37.719411274061))",13936,11973000,SOMERSET,ST,,MANSELL ST,ORDWAY ST,0,,,,,422.964680656582,,,,,,,
"MULTILINESTRING ((-122.43716273616 37.7215799394, -122.437222319197 37.721554542238, -122.437470298329 37.721227113671, -122.437474350647 37.721168487341))",15078,9171201,MISSION,ST,,RUSSIA AVE,ONONDAGA AVE,25,,,TAMAMABDALLAH,05/10/2016 11:12:55 PM +0000,180.08443558939402,,,,,,,
"MULTILINESTRING ((-122.457182215974 37.724106621161, -122.457213562153 37.724084821287, -122.457333280668 37.724110098604, -122.457354167272 37.724142924886))",14039,9824101,OCEAN,AVE,,GRANADA AVE,GRANADA AVE,25,,,,,61.274350552976202,,,,,,,
"MULTILINESTRING ((-122.434174993106 37.78215585424, -122.43436361351 37.783087962292))",7151,12132000,STEINER,ST,,ELLIS ST,O'FARRELL ST,0,,,,,343.77689336060502,,,,,,,
"MULTILINESTRING ((-122.485348684357 37.742630909511, -122.486421113193 37.742583735707))",14708,12404000,TARAVAL,ST,,28TH AVE,29TH AVE,25,,,TAMAMABDALLAH,05/11/2016 06:27:45 PM +0000,310.58962296478603,,,,,,,
"MULTILINESTRING ((-122.465250659406 37.739691584544, -122.465339364141 37.739607360007, -122.465735238869 37.739429294628, -122.465810302991 37.739374460073, -122.466022946729 37.739245888238, -122.466170545276 37.739240769537))",11190,10621101,PORTOLA,DR,,CLAREMONT BLVD,VICENTE ST,35,,,,,321.05716491376097,,,,,,,
"MULTILINESTRING ((-122.395185245212 37.744914897746, -122.397056045384 37.745979169499))",1750,5988000,GALVEZ,AVE,,SELBY ST,TOLAND ST,0,,,,,665.45694503370009,,,,,,,
"MULTILINESTRING ((-122.450145754619 37.754579186392, -122.450104796901 37.754597967865, -122.449930627058 37.754697763721, -122.449855075004 37.754765824938))",5202,4056000,CLAIRVIEW,CT,,FREDELA LN,END: 50-99 BLOCK,0,,,,,108.81155705175001,,,,,,,
"MULTILINESTRING ((-122.388731921369 37.752391960581, -122.388642279709 37.751507108788))",1394,12491000,TENNESSEE,ST,,TENNESSEE ST,26TH ST,0,,,,,323.25792342607201,,,,,,,
"MULTILINESTRING ((-122.482002657148 37.74090503668, -122.483075605321 37.740857394932))",16164,12802000,ULLOA,ST,,25TH AVE,26TH AVE,0,,,,,310.75622313705304,,,,,,,
"MULTILINESTRING ((-122.466220091522 37.709936154128, -122.466368637979 37.709916262761, -122.466482783114 37.709613097335))",9293,11407000,SAN DIEGO,AVE,,DE LONG ST,PANAMA ST,0,,,,,158.80952481572803,,,,,,,
"MULTILINESTRING ((-122.440212808253 37.757259435163, -122.439887574395 37.757625338197, -122.439634845965 37.757964589998))",11700,2085000,ACME,ALY,,CORWIN ST,SEWARD ST,0,,,,,306.608500231959,,,,,,,
"MULTILINESTRING ((-122.396315218579 37.793261297677, -122.396339032711 37.793176116033, -122.396408586925 37.793121448019, -122.396517700402 37.79310202977))",1790,8738101,MARKET,ST,,DRUMM ST,MAIN ST,0,,,,,92.376547833954902,,,,,,,
"MULTILINESTRING ((-122.388868322431 37.729985358482, -122.389431925947 37.729358828521))",12416,7786000,KEITH,ST,,SHAFTER AVE,THOMAS AVE,0,,,,,280.39747859135298,,,,,,,
"MULTILINESTRING ((-122.394760792379 37.794484665819, -122.393194545093 37.793235440032))",1878,12158000,STEUART,ST,,MARKET ST,MISSION ST,0,,,,,641.705595774617,,,,,,,
"MULTILINESTRING ((-122.446404838867 37.762236892514, -122.44641464517 37.762074624555, -122.446397262234 37.761821366929))",7368,9329000,MONUMENT,WAY,,MONUMENT WAY,17TH ST,0,,,,,151.51788371174999,,,,,,,
"MULTILINESTRING ((-122.412154642047 37.806763030424, -122.413799877529 37.80655957991))",7959,9689000,NORTH POINT,ST,,POWELL ST,MASON ST,25,,,,,481.08134966443498,,,,,,,
"MULTILINESTRING ((-122.444852623815 37.708588705929, -122.444689405885 37.708282952494))",16528,8507000,LOWELL,ST,,HANOVER ST,END: 300-399 BLOCK,0,,,,,120.937913385947,,,,,,,
"MULTILINESTRING ((-122.460797002907 37.800050087838, -122.4609696264 37.800029022911, -122.461092069296 37.800072539239, -122.46121947945 37.800142967362, -122.461331332627 37.800188345819, -122.461444554275 37.800205020546, -122.461593446549 37.800202544588, -122.46175257246 37.800184713365, -122.461836449705 37.800137766172, -122.461849467629 37.80006669041, -122.461817951968 37.800001416758, -122.461738226332 37.799963938734, -122.461631206853 37.799940411922, -122.461471280797 37.79992788902, -122.461211981644 37.799967232504))",2696,19787000,UNNAMED #075,,,INFANTRY TER,FISHER LOOP,0,,,,,555.98394152762808,,,,,,,
"MULTILINESTRING ((-122.38212149456 37.754411796039, -122.381998565572 37.753175010407))",1370,4711000,DELAWARE,ST,,24TH ST,25TH ST,0,,,,,451.77370398941804,,,,,,,
"MULTILINESTRING ((-122.441577351172 37.760493552802, -122.441504244665 37.759670039411))",7119,4224000,CLOVER,ST,,18TH ST,CASELLI AVE,0,,,,,300.62510359636701,,,,,,,
"MULTILINESTRING ((-122.416084951113 37.784453786363, -122.417719965688 37.784240683909))",4243,5177000,ELLIS,ST,,HYDE ST,LARKIN ST,0,,,,,478.86110115811505,,,,,,,
"MULTILINESTRING ((-122.444576281618 37.716084365639, -122.44519299811 37.716580610688))",11181,9426000,MOUNT VERNON,AVE,,ALEMANY BLVD,ROME ST,0,,,,,253.93044529084102,,,,,,,
"MULTILINESTRING ((-122.428215537928 37.759696565157, -122.428139497251 37.758895438904))",6056,4018000,CHURCH,ST,,19TH ST,CUMBERLAND ST,0,,,,,292.55610100960803,,,,,,,
"MULTILINESTRING ((-122.439394746015 37.720574922039, -122.439717113953 37.720701000274, -122.439808641007 37.720668258107))",4762,9945000,ONEIDA,AVE,,ALEMANY BLVD,ONEIDA AVE,0,,,,,132.97186045208201,,,,,,,
"MULTILINESTRING ((-122.430689604036 37.710171383874, -122.431295791182 37.709646326435))",14762,2701000,BALTIMORE,WAY,,SOUTH HILL BLVD,TOYON LN,0,,,,,259.44249016035701,,,,,,,
"MULTILINESTRING ((-122.414630423017 37.785587420181, -122.415033238695 37.785536778756))",7907,9730000,O'FARRELL,ST,,LEAVENWORTH ST,HARLEM ALY,0,,,,,117.86640954112499,,,,,,,
"MULTILINESTRING ((-122.450947759725 37.798429409735, -122.451005372495 37.798451080812, -122.451111332941 37.798485239542, -122.451230446029 37.79857561578, -122.45158406814 37.799149501334, -122.451685543779 37.799235039213, -122.451810222157 37.79931506191, -122.451986602099 37.799363446615, -122.452161903547 37.799370806132, -122.452306954592 37.799337622149, -122.4524283972 37.799294567624, -122.452620822557 37.799187858111))",12511,19430000,LETTERMAN,DR,,LETTERMAN HOSPITAL ACCESS,LINCOLN BLVD,0,,,,,675.36529324368507,,,,,,,
"MULTILINESTRING ((-122.405064236518 37.800005762696, -122.405383741668 37.799964975427))",12998,6445000,GREEN,ST,,CASTLE ST,WINDSOR PL,0,,,,,93.507077820113295,,,,,,,
"MULTILINESTRING ((-122.43058678372 37.761160418958, -122.430510247649 37.760362246794))",4788,11516000,SANCHEZ,ST,,18TH ST,HANCOCK ST,0,,,,,291.49429903294305,,,,,,,
"MULTILINESTRING ((-122.460231389885 37.720025995405, -122.461247185309 37.720022929727))",12476,6363000,GRAFTON,AVE,,FAXON AVE,JULES AVE,0,,,,,293.82883484689398,,,,,,,
"MULTILINESTRING ((-122.445858057416 37.763239868798, -122.445660433101 37.763493500719, -122.445576479232 37.763521038126, -122.445302915266 37.76339830963, -122.445273147043 37.763329262501, -122.445438565328 37.763095735793, -122.445520311512 37.763085504932, -122.445858057416 37.763239868798))",925,13018002,UPPER,TER,,HUDSON AVE,HUDSON AVE,0,,,,,486.425093477497,,,,,,,
"MULTILINESTRING ((-122.455100769893 37.711906250771, -122.455605450332 37.711481601899))",14308,11467203,SAN JOSE,AVE,,I-280 S OFF RAMP,SAGAMORE ST,0,,,TAMAMABDALLAH,07/28/2016 11:31:41 PM +0000,212.667367445286,,,,,,,
"MULTILINESTRING ((-122.455878336764 37.786109649717, -122.456698394298 37.786004972546))",1984,3573000,CALIFORNIA,ST,,COMMONWEALTH AVE,CHERRY ST,25,,,,,240.04315244127901,,,,,,,
"MULTILINESTRING ((-122.494964909423 37.757168809389, -122.495500054721 37.757145179956))",3143,8216000,LAWTON,ST,,36TH AVE,SUNSET BLVD,0,,,,,154.956750736337,,,,,,,
"MULTILINESTRING ((-122.412430772755 37.799769715743, -122.413022839407 37.799694354489))",6856,13517000,WEBB,PL,,MASON ST,END: 1-99 BLOCK,0,,,,,173.26335103195302,,,,,,,
"MULTILINESTRING ((-122.436686102309 37.734045114133, -122.436788904124 37.734025304494, -122.437542190441 37.734174431219))",16311,3030101,BOSWORTH,ST,,CHILTON AVE,HAMERTON AVE,0,,,,,255.11210356865101,,,,,,,
"MULTILINESTRING ((-122.438368332984 37.723649441582, -122.438450499321 37.723677226435, -122.438717389026 37.723652781161, -122.438821786097 37.723606214789))",15275,9808201,OCEAN,AVE,,SANTA YNEZ AVE,CAYUGA AVE,25,,,,,138.169441243146,,,,,,,
"MULTILINESTRING ((-122.463631166631 37.786726521638, -122.463516235528 37.785135480621))",4291,276000,05TH,AVE,,LAKE ST,CALIFORNIA ST,0,,,,,580.32920547632,,,,,,,
"MULTILINESTRING ((-122.446955661146 37.757233861129, -122.44672173707 37.757032597381, -122.4466679462 37.75694731545))",11480,10884000,RACCOON,DR,,CROWN TER,PALO ALTO AVE,0,,,,,134.45775262696702,,,,,,,
"MULTILINESTRING ((-122.467523458399 37.737952600456, -122.466726521645 37.737738548173, -122.466292507784 37.737597300025, -122.465728679246 37.737397245555))",15606,12527000,TERRACE,DR,,PORTOLA DR,SANTA CLARA AVE,0,,,,,557.51918443952695,,,,,,,
"MULTILINESTRING ((-122.44353418587 37.738681861691, -122.443550687879 37.738453152142, -122.443559396259 37.738323296763, -122.443604134823 37.738238016707, -122.443722338077 37.738150862061, -122.443906360303 37.738090176521, -122.444123401866 37.738057770885, -122.444369680952 37.738063315731, -122.444700065854 37.738121918012, -122.444897693862 37.738118656242, -122.445102677488 37.738088049306, -122.446045887714 37.73774259049, -122.446135083744 37.737681865809, -122.446207308096 37.737589394163, -122.446251270729 37.737478936541, -122.446239848075 37.737311530842))",11425,8693202,MARIETTA,DR,,EL SERENO CT,TERESITA BLVD,0,,,,,1096.3872863535,,,,,,,
"MULTILINESTRING ((-122.43347914048 37.744885860859, -122.433407810864 37.744120681442))",15730,3810000,CASTRO,ST,,28TH ST,VALLEY ST,0,,,,,279.400625987784,,,,,,,
"MULTILINESTRING ((-122.4879591314 37.779952072835, -122.488078359217 37.780010931731, -122.488895953638 37.779978880758, -122.489026718833 37.779895515222))",5347,6085201,GEARY,BLVD,,28TH AVE,29TH AVE,25,,,,,325.65121253577701,,,,,,,
"MULTILINESTRING ((-122.435627072287 37.738602140761, -122.4348432619 37.738948174648, -122.434736153532 37.738920973354, -122.434583733804 37.738763170508))",11209,4762000,DIAMOND,ST,,MORELAND ST,MOFFITT ST,0,,,,,364.27717420909102,,,,,,,
"MULTILINESTRING ((-122.471032542244 37.754270556866, -122.472128934411 37.75422227277))",5023,9421000,MOUNT,LN,,14TH AVE,15TH AVE,0,,,,,317.48125597883399,,,,,,,
"MULTILINESTRING ((-122.482495755634 37.76333074568, -122.483566781623 37.763283566808))",4931,7301000,IRVING,ST,,24TH AVE,25TH AVE,0,,,,,310.09854636529201,,,,,,,
"MULTILINESTRING ((-122.442138923055 37.80485483655, -122.443805189441 37.804642817392))",10201,7462000,JEFFERSON,ST,,SCOTT ST,DIVISADERO ST,0,,,,,487.58257317547503,,,,,,,
"MULTILINESTRING ((-122.491292217207 37.734703402458, -122.491254795114 37.734136927266, -122.491355840983 37.734012793983))",13129,1763000,34TH,AVE,,ESCONDIDO AVE,SLOAT BLVD,0,,,,,260.39019160348499,,,,,,,
"MULTILINESTRING ((-122.472040264081 37.757470200487, -122.471902072493 37.757379485108, -122.471423596943 37.757180468876, -122.471186415181 37.757044953223, -122.471034582383 37.756867866887, -122.470940535462 37.756629191245, -122.470938985889 37.756357262687))",3410,563101,14TH,AVE,,15TH AVE,MORAGA ST,0,,,,,560.59053302392306,,,,,,,
"MULTILINESTRING ((-122.416661668073 37.710478113094, -122.417529752262 37.710696822015, -122.417860623799 37.710737272427, -122.418589908078 37.710722111097, -122.418785049209 37.71073688474))",16398,2995000,BLYTHDALE,AVE,,HAHN ST,SANTOS ST,0,,,,,628.06246040515407,,,,,,,
"MULTILINESTRING ((-122.421781384454 37.795950348237, -122.423426273717 37.795742055297))",7255,3170000,BROADWAY,,,POLK ST,VAN NESS AVE,0,,,,,481.32566784780403,,,,,,,
"MULTILINESTRING ((-122.3916306995 37.745738666097, -122.392195547861 37.745105941946))",1751,10927000,RANKIN,ST,,DAVIDSON AVE,EVANS AVE,0,,,,,282.42438815801103,,,,,,,
"MULTILINESTRING ((-122.425560685232 37.725327501317, -122.4257818432 37.725034552114, -122.42593822811 37.725003190002, -122.426106055223 37.724765060232))",15007,2533000,ATHENS,ST,,VALMAR TER,AVALON AVE,0,,,,,270.41352810885797,,,,,,,
"MULTILINESTRING ((-122.401056259608 37.787894560073, -122.400821808074 37.787703894084))",7074,9542000,NEW MONTGOMERY,ST,,JESSIE ST,AMBROSE BIERCE ST,0,,,,,97.012531870882498,,,,,,,
"MULTILINESTRING ((-122.433607966554 37.789896464394, -122.43366956034 37.790202303186))",11829,12980000,UNNAMED #110,,,SACRAMENTO ST,END: 0-0 BLOCK,0,,,,,112.78476394195201,,,,,,,
"MULTILINESTRING ((-122.438568581849 37.766302328847, -122.439515057041 37.766580466385))",7553,668000,15TH,ST,,BUENA VISTA TER,ROOSEVELT WAY,0,,,,,291.74938956076102,,,,,,,
"MULTILINESTRING ((-122.404828538941 37.797625662729, -122.40542231679 37.79754954025))",12978,9717000,NOTTINGHAM,PL,,START: 1-99 BLOCK,KEARNY ST,0,,,,,173.800476143737,,,,,,,
"MULTILINESTRING ((-122.407704296515 37.779323406092, -122.408284802836 37.778865632232))",5466,7044000,HOWARD,ST,,HARRIET ST,RUSS ST,25,,,,,236.514908006263,,,,,,,
"MULTILINESTRING ((-122.387769488126 37.752840556587, -122.3878299875 37.752747920168, -122.387724338084 37.751645702394, -122.387647182559 37.751564548058))",2074,194201,03RD,ST,,25TH ST,26TH ST,30,,,,,477.55725993003904,,,,,,,
"MULTILINESTRING ((-122.418765341581 37.741184976594, -122.418847381527 37.74098815412))",12461,13317000,VIRGINIA,AVE,,ELSIE ST,EUGENIA AVE,0,,,,,75.496753493017195,,,,,,,
"MULTILINESTRING ((-122.488560443806 37.742489601194, -122.489633456231 37.742442372745))",14849,12407000,TARAVAL,ST,,31ST AVE,32ND AVE,25,,,TAMAMABDALLAH,05/11/2016 06:27:41 PM +0000,310.75981815258206,,,,,,,
"MULTILINESTRING ((-122.43257428946 37.758627321773, -122.432497381444 37.757825456561))",8681,9618000,NOE,ST,,CUMBERLAND ST,20TH ST,0,,,,,292.84332978894201,,,,,,,
"MULTILINESTRING ((-122.399560959756 37.715395258878, -122.399579829938 37.71520597021, -122.39971057779 37.715015445433, -122.399952929582 37.714880317938, -122.400462576136 37.714735879347))",4840,11394000,SAN BRUNO,AVE,,CAMPBELL AVE,BEEMAN LN,0,,,,,390.34575282342502,,,,,,,
"MULTILINESTRING ((-122.395294051944 37.788412931813, -122.395136267959 37.788286669695))",1634,11949000,SLOAN,ALY,,START: 1-99 BLOCK,TENNY PL,0,,,,,64.755070133112497,,,,,,,
"MULTILINESTRING ((-122.442985399405 37.78146534038, -122.443397171095 37.7814355245, -122.443679112761 37.781406509343))",15314,12523000,TERRA VISTA,AVE,,FORTUNA AVE,SONORA LN,0,,,,,201.67259626968001,,,,,,,
"MULTILINESTRING ((-122.508104969425 37.776154059946, -122.50803762056 37.775230617932))",2648,2039000,47TH,AVE,,SUTRO HEIGHTS AVE,BALBOA ST,0,,,,,336.83408539090402,,,,,,,
"MULTILINESTRING ((-122.44001254584 37.806082144726, -122.440161204756 37.806126936408, -122.441948549764 37.805898320216, -122.442223007784 37.805791219851))",11041,8705201,MARINA,BLVD,,AVILA ST,SCOTT ST,25,,,,,657.38585538851703,,,,,,,
"MULTILINESTRING ((-122.468932205605 37.716103191703, -122.468954352791 37.717899080499))",10918,10895000,RALSTON,ST,,SARGENT ST,SHIELDS ST,0,,,,,653.99696539234094,,,,,,,
"MULTILINESTRING ((-122.438487012908 37.751028661841, -122.438410062969 37.750231296141))",8264,4955000,DOUGLASS,ST,,24TH ST,JERSEY ST,0,,,,,291.21031614169203,,,,,,,
"MULTILINESTRING ((-122.410846856348 37.800244106258, -122.411638732481 37.800144136578))",6863,12850000,UNION,ST,,POWELL ST,AUGUST ALY,0,,,,,231.68716259405801,,,,,,,
"MULTILINESTRING ((-122.494604033593 37.736609862392, -122.494476589794 37.734815708817))",16167,1841000,37TH,AVE,,WAWONA ST,YORBA ST,0,,,,,654.37464688368402,,,,,,,
"MULTILINESTRING ((-122.421066091899 37.792388198467, -122.422707381384 37.792179590196))",14242,4106000,CLAY,ST,,POLK ST,VAN NESS AVE,0,,,,,480.33911915339405,,,,,,,
"MULTILINESTRING ((-122.42361451555 37.796696003926, -122.423534511031 37.796797755989, -122.423684808895 37.797541300452, -122.423806183028 37.797621527753))",14269,13165201,VAN NESS,AVE,,VALLEJO ST,GREEN ST,25,,,,,363.542578752579,,,,,,,
"MULTILINESTRING ((-122.435513798472 37.731541484505, -122.435949918203 37.731232172237, -122.436160127974 37.731125542736))",11227,11421000,SAN JOSE,AVE,,CALVERT DR,TINGLEY ST,0,,,,,241.24046567113001,,,,,,,
"MULTILINESTRING ((-122.452588587776 37.720046940958, -122.453105172836 37.720045527502))",12494,6355000,GRAFTON,AVE,,MOUNT VERNON AVE,HAROLD AVE,0,,,,,149.42708123892902,,,,,,,
"MULTILINESTRING ((-122.462835074072 37.756966678233, -122.463223340866 37.756800945975, -122.463670891212 37.756769047774))",14111,9331000,MORAGA,ST,,LOCKSLEY AVE,07TH AVE,0,,,,,257.362204658888,,,,,,,
"MULTILINESTRING ((-122.501475949625 37.773657610464, -122.502548445848 37.773608461977))",4075,3508000,CABRILLO,ST,,41ST AVE,42ND AVE,0,,,,,310.52044380274697,,,,,,,
"MULTILINESTRING ((-122.418365248025 37.772227123634, -122.418412144731 37.772107367339, -122.418042133857 37.770881413797))",6957,12017201,SOUTH VAN NESS,AVE,,12TH ST,PLUM ST,25,,,,,504.73079261665202,,,,,,,
"MULTILINESTRING ((-122.432284200039 37.786217442351, -122.433284798167 37.786090372688))",8160,12338000,SUTTER,ST,,COTTAGE ROW,FILLMORE ST,0,,,,,292.85207472920604,,,,,,,
"MULTILINESTRING ((-122.434252971807 37.752896224329, -122.436467481343 37.752764514075))",7029,1283000,23RD,ST,,CASTRO ST,DIAMOND ST,0,,,,,642.07534668232006,,,,,,,
"MULTILINESTRING ((-122.432456359199 37.734847512992, -122.432958078371 37.735083615734, -122.433219277815 37.735303074861))",11212,12297000,SURREY,ST,,CASTRO ST,UNNAMED #025,0,,,,,278.62266703153301,,,,,,,
"MULTILINESTRING ((-122.46187837003 37.709667903597, -122.462568421572 37.709662098328))",9312,4646000,DE LONG,ST,,WILSON ST,ORIZABA AVE,0,,,,,199.64175273798003,,,,,,,
"MULTILINESTRING ((-122.474737540137 37.759932315876, -122.474606954008 37.758065866259))",3047,760000,17TH,AVE,,KIRKHAM ST,LAWTON ST,0,,,,,680.71262232680203,,,,,,,
"MULTILINESTRING ((-122.470746182901 37.717887106863, -122.47164539596 37.717881088055))",10993,11816000,SHIELDS,ST,,MONTICELLO ST,BEVERLY ST,0,,,,,260.12108507474505,,,,,,,
"MULTILINESTRING ((-122.39898346883 37.794289362838, -122.399162633565 37.795168333289))",1652,5871000,FRONT,ST,,SACRAMENTO ST,CLAY ST,0,,,,,324.23790237052503,,,,,,,
"MULTILINESTRING ((-122.42285130293 37.784551554841, -122.423053401991 37.784558193538, -122.423337984933 37.784620053078, -122.423625127096 37.78477140449, -122.423755986792 37.784889536467, -122.423886848039 37.785007668296, -122.424183378942 37.785197809286, -122.424550782267 37.785278529312, -122.424700257617 37.785339567053))",7915,12110000,STARR KING,WAY,,FRANKLIN ST,GEARY BLVD,0,,,,,626.841958560943,,,,,,,
"MULTILINESTRING ((-122.393532175609 37.781238186537, -122.393200894398 37.78097375056))",1572,7358000,JACK LONDON,ALY,,VARNEY PL,BRANNAN ST,0,,,,,135.79426732368103,,,,,,,
"MULTILINESTRING ((-122.411452474372 37.79920735755, -122.411638732481 37.800144136578))",4660,2546000,AUGUST,ALY,,GREEN ST,UNION ST,0,,,,,345.34842340318704,,,,,,,
"MULTILINESTRING ((-122.432328372433 37.712234089925, -122.432659277138 37.711763107888))",15518,10733000,PRAGUE,ST,,SOUTH HILL BLVD,ROLPH ST,0,,,,,196.41282268916001,,,,,,,
"MULTILINESTRING ((-122.386856541895 37.725061111188, -122.387381465809 37.725359046698))",8864,13354000,WALLACE,AVE,,WALLACE AVE,INGALLS ST,0,,,,,186.607162052414,,,,,,,
"MULTILINESTRING ((-122.410975183528 37.760432395964, -122.411719330005 37.760387802877))",6383,963000,19TH,ST,,FLORIDA ST,ALABAMA ST,0,,,,,215.74524627986,,,,,,,
"MULTILINESTRING ((-122.405234387252 37.788698938097, -122.405319735427 37.789165531248))",6038,6384000,GRANT,AVE,,POST ST,CAMPTON PL,0,,,,,171.690976744973,,,,,,,
"MULTILINESTRING ((-122.434367709963 37.718130143571, -122.433568560331 37.717748955763))",11449,5748000,FRANCE,AVE,,EDINBURG ST,NAPLES ST,0,,,,,269.639971980925,,,,,,,
"MULTILINESTRING ((-122.41556761226 37.734829798873, -122.414947972935 37.734798829389))",9655,4494000,CRESCENT,AVE,,ANDERSON ST,ELLSWORTH ST,0,,,,,179.55437138174003,,,,,,,
"MULTILINESTRING ((-122.428849737241 37.723959512253, -122.430039360827 37.722402810414))",13299,9490000,NAPLES,ST,,EXCELSIOR AVE,BRAZIL AVE,0,,,,,663.12791595129909,,,,,,,
"MULTILINESTRING ((-122.465250659406 37.739691584544, -122.465373502094 37.739706810186, -122.465844818902 37.739488192137, -122.465915197053 37.739426291891, -122.466083795278 37.739334176155, -122.466170545276 37.739240769537))",15849,10621201,PORTOLA,DR,,CLAREMONT BLVD,VICENTE ST,35,,,,,325.61025697828603,,,,,,,
"MULTILINESTRING ((-122.492950094863 37.759127852971, -122.494023211879 37.759080449455))",8331,7872000,KIRKHAM,ST,,34TH AVE,35TH AVE,0,,,,,310.72419757769603,,,,,,,
"MULTILINESTRING ((-122.454944786167 37.741781928213, -122.45499416625 37.741691991117, -122.455154804803 37.741482925674, -122.455387193403 37.741255468998, -122.455589276353 37.741111647887, -122.455654577142 37.741077793794))",11422,7635000,JUANITA,WAY,,DEL SUR AVE,UNNAMED #037,0,,,,,332.59446373210602,,,,,,,
"MULTILINESTRING ((-122.403088232919 37.798328222352, -122.403532760955 37.798273016884))",12990,3147000,BROADWAY,,,OSGOOD PL,BARTOL ST,25,,,,,130.01142688080901,,,,,,,
"MULTILINESTRING ((-122.478980109141 37.791648694397, -122.478998675322 37.791385104566, -122.478848225958 37.791201814214, -122.478872206186 37.790992144332))",2722,19149000,GREELY,CT,,PERSHING DR,END: 0-0 BLOCK,0,,,,,252.45806238037801,,,,,,,
"MULTILINESTRING ((-122.423256923339 37.730823643292, -122.422780226339 37.730769091583, -122.422513251657 37.730777526622))",10512,12702000,TRUMBULL,ST,,NEY ST,MAYNARD ST,0,,,,,216.56652912110403,,,,,,,
